Data Source,World Development Indicators,,,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year,year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2019-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,USA,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.95,99.95,99.95,99.95,99.95,99.95,99.95,100,100,100,100,100,100,100,100,100,100,100,100,100,99.95,99.95,,
United States,USA,Import volume index (2000 = 100),TM.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,23.34514044,25.08635342,23.92043461,25.28468512,32.79064727,33.87656729,35.74843735,35.80774443,37.66992837,39.93787589,38.34785276,38.61926595,40.92066424,47.46512807,52.4606486,53.35284349,57.14227548,67.71012552,74.25849655,84.23411064,100,97.03392254,101.285121,106.7844709,118.429151,124.8890076,132.1192855,133.4497297,128.4995932,107.7983178,123.3723307,128.2068805,131.7854735,132.6332801,138.8249409,148.390804,149.1510095,155.1136399,
United States,USA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,6.80697588809129,6.56651872891887,6.53050735415634,6.58114625743815,6.85093321668125,6.82578996907355,7.14420858895706,7.01622374376233,7.438175066313,7.50370624571036,7.95903647605132,7.92090908312425,8.47168191483638,10.1223689211921,13.5788097428696,12.7143747820357,13.2772542630515,13.5953816748332,14.0836834536282,15.5231307721503,16.8576124757861,15.9474935190641,14.090501289839,13.0703434202725,14.1149055372432,13.1426951821759,13.277394772072,13.9329315305663,14.8871926800846,15.1428152782415,15.2281201935451,15.0645695211387,15.3240584350096,15.529216345255,16.4438676628236,17.6876877268706,17.8649640916318,18.4491982647414,17.8948282175002,18.1689816310002,19.8469796968899,17.9656526035453,17.2473749521066,17.6168806854857,19.0677696846776,20.1148855566399,21.2476024632994,21.8861851400453,23.4868352127943,18.4574996468138,21.7027410171306,24.156140356643,24.0307381096739,23.4170015823008,23.1418947009369,21.0691114813246,19.8725847577771,20.4027665196453,
United States,USA,"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8526152243417,6.85147379358623,6.89985202546735,7.13381903061275,6.71662505728582,6.31788115147844,6.26184931186218,5.85691972957716,5.42101683274891,5.34957331106885,5.07036043098139,4.81436089683512,4.78134264042131,4.69890104891856,5.23446623982054,4.68640011787436,4.35214198579185,4.71383403713167,4.72350125883334,4.90391935352193,5.42611241560801,5.9214885900494,5.99030358807195,
United States,USA,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61042000000,65477000000,71948000000,78423000000,82513000000,91473000000,85610000000,81860000000,82091000000,94764000000,101421000000,106848000000,112788000000,119838000000,102953000000,110049000000,116448000000,129902000000,130148000000,140558000000,150044000000,160937000000,173919000000,
United States,USA,"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46379000000,49672000000,53808000000,58451000000,61567000000,67860000000,63689000000,62671000000,61966000000,71034000000,79990000000,84206000000,89235000000,92546000000,81421000000,86623000000,89701000000,100337000000,98119000000,105668000000,114550000000,123569000000,135023000000,
United States,USA,"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74834000000,81772000000,86175000000,85001000000,92050000000,100716000000,91922000000,88136000000,86444000000,97758000000,101469000000,105141000000,119037000000,133765000000,119900000000,137010000000,150866000000,161633000000,177483000000,191919000000,206936000000,206901000000,210748000000,
United States,USA,"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14663000000,15805000000,18140000000,19972000000,20946000000,23613000000,21921000000,19189000000,20125000000,23730000000,21431000000,22642000000,23553000000,27292000000,21532000000,23426000000,26747000000,29565000000,32029000000,34890000000,35494000000,37368000000,38896000000,
United States,USA,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18909000000,20424000000,20872000000,20094000000,19425000000,20196000000,17181000000,16291000000,15091000000,17931000000,20608000000,21637000000,25186000000,30956000000,26102000000,30986000000,36763000000,39364000000,41013000000,44071000000,42247000000,39271000000,40613000000,
United States,USA,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8005229123474,12.0000751501829,11.4555052709643,11.2619925566582,11.493808448555,11.2442703155616,10.8489815562441,10.6698940540938,9.95034383002243,9.95990691724054,9.49262064353587,8.69745376960783,8.72203813982911,8.94438733870797,9.222823522426,9.06599173787867,8.82567517033602,9.06063276617133,9.52386349024385,9.92949340186657,10.9932593311213,11.1096168235518,10.6913311496495,
United States,USA,"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93743000000,102196000000,107047000000,105095000000,111475000000,120912000000,109103000000,104427000000,101535000000,115689000000,122077000000,126778000000,144223000000,164721000000,146002000000,167996000000,187629000000,200997000000,218496000000,235990000000,249183000000,246172000000,251361000000,
United States,USA,"International tourism, number of departures",ST.INT.DPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51285000,52999000,53229000,55696000,57222000,61327000,59442000,58066000,56250000,61809000,63503000,63663000,64049000,63653000,62130000,61061000,59209000,60697000,61344000,68185000,74191000,80226000,87703000,
United States,USA,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43318000,46489000,47767000,46377000,48509000,51238000,46927000,43581000,41218000,46086000,49206000,50977000,56135000,58007000,55103000,60010000,62821000,66657000,69995000,75022000,77774000,76407000,76941000,
United States,USA,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,6,,,,,,,,,,,,6.3,,,,,5.8,5.8,,8,,,,9,,,,
United States,USA,Urban population (% of total),SP.URB.TOTL.IN.ZS,69.996,70.377,70.757,71.134,71.508,71.879,72.247,72.612,72.974,73.333,73.602,73.613,73.623,73.633,73.643,73.653,73.663,73.673,73.682,73.692,73.738,73.89,74.042,74.194,74.344,74.494,74.644,74.793,74.942,75.089,75.3,75.701,76.097,76.488,76.875,77.257,77.636,78.008,78.377,78.742,79.057,79.234,79.409,79.583,79.757,79.928,80.099,80.269,80.438,80.606,80.772,80.944,81.119,81.299,81.483,81.671,81.862,82.058,
United States,USA,Urban population,SP.URB.TOTL,126462473,129276215,131988693,134615404,137215986,139663053,142008703,144288757,146463196,148629124,150922373,152865492,154531732,156034954,157488501,159070594,160611122,162256678,164005080,165847531,167551171,169552427,171528659,173459636,175321738,177239105,179244877,181215212,183232441,185333919,187966119,191509147,195199459,198806845,202278113,205718394,209146726,212694273,216206090,219721677,223069137,225792302,228400290,230876596,233532722,236200507,238999326,241795278,244607104,247276259,249858829,252257346,254708202,257095490,259623192,262196447,264746567,267278643,
United States,USA,Urban population growth (annual %),SP.URB.GROW,2.4491044645664,2.20057087771013,2.07649430194512,1.97055936295003,1.91343710832917,1.76765328716456,1.66555870446276,1.59282042208749,1.49576263761729,1.46799272604928,1.531151622153,1.27927789350898,1.08410628926962,0.968058589105531,0.927239982306409,0.999564503181063,0.963796080842526,1.01934615261149,1.07178895113162,1.1171475381994,1.02199247812023,1.18733797133269,1.15881776860062,1.11945662708531,1.06778620152612,1.08769078654837,1.12532022077028,1.09324426439828,1.10701747375615,1.14036493918274,1.41025628541903,1.86738439894312,1.90863299657144,1.83118227604993,1.7309822295661,1.68646666337335,1.65278297800739,1.68197526681483,1.63762765741403,1.61295677155673,1.51201139138713,1.21338042170418,1.14841884658312,1.07836038438036,1.14388530085121,1.13588459113456,1.17796815968651,1.16306776101756,1.15618567133535,1.08529029428822,1.03899052579276,0.955370634436692,0.966880334564474,0.932898824725722,0.978374597634208,0.986270223134783,0.967899693434161,0.951870351538852,
